,Review,sentiment
10,Phil the Alien is one of those quirky films where the humour is based around the oddness of everything rather than actual punchlines.At first it was very odd and pretty funny but as the movie progressed I didn't find the jokes or oddness funny anymore.Its a low budget film thats never a problem in itself there were some pretty interesting characters but eventually I just lost interest.I imagine this film would appeal to a stoner who is currently partaking.For something similar but better try Brother from another planet,negative
11,I saw this movie when I was about 12 when it came out. I recall the scariest scene was the big bird eating men dangling helplessly from parachutes right out of the air. The horror. The horror.As a young kid going to these cheesy B films on Saturday afternoons I still was tired of the formula for these monster type movies that usually included the hero a beautiful woman who might be the daughter of a professor and a happy resolution when the monster died in the end. I didn't care much for the romantic angle as a 12 year old and the predictable plots. I love them now for the unintentional humor.But about a year or so later I saw Psycho when it came out and I loved that the star Janet Leigh was bumped off early in the film. I sat up and took notice at that point. Since screenwriters are making up the story make it up to be as scary as possible and not from a wellworn formula. There are no rules.,negative
12,So im not a big fan of Boll's work but then again not many are. I enjoyed his movie Postal maybe im the only one. Boll apparently bought the rights to use Far Cry long ago even before the game itself was even finsished. People who have enjoyed killing mercs and infiltrating secret research labs located on a tropical island should be warned that this is not Far Cry... This is something Mr Boll have schemed together along with his legion of schmucks.. Feeling loneley on the set Mr Boll invites three of his countrymen to play with. These players go by the names of Til Schweiger Udo Kier and Ralf Moeller.Three names that actually have made them selfs pretty big in the movie biz. So the tale goes like this Jack Carver played by Til Schweiger yes Carver is German all hail the bratwurst eating dudes However I find that Tils acting in this movie is pretty badass.. People have complained about how he's not really staying true to the whole Carver agenda but we only saw carver in a first person perspective so we don't really know what he looked like when he was kicking a.. However the storyline in this film is beyond demented. We see the evil mad scientist Dr. Krieger played by Udo Kier making GeneticallyMutatedsoldiers or GMS as they are called. Performing his topsecret research on an island that reminds me of SPOILER Vancouver for some reason. Thats right no palm trees here. Instead we got some nice rich lumberjackwoods. We haven't even gone FAR before I started to CRY mehehe I cannot go on any more.. If you wanna stay true to Bolls shenanigans then go and see this movie you will not be disappointed it delivers the true Boll experience meaning most of it will suck.There are some things worth mentioning that would imply that Boll did a good work on some areas of the film such as some nice boat and fighting scenes. Until the whole cromedalbino GMS squad enters the scene and everything just makes me laugh.. The movie Far Cry reeks of scheisse that's poop for you simpletons from a far if you wanna take a wiff go ahead.. BTW Carver gets a very annoying sidekick who makes you wanna shoot him the first three minutes he's on screen.,negative
13,The cast played Shakespeare.Shakespeare lost.I appreciate that this is trying to bring Shakespeare to the masses but why ruin something so good.Is it because 'The Scottish Play' is my favorite Shakespeare I do not know. What I do know is that a certain Rev Bowdler hence bowdlerization tried to do something similar in the Victorian era.In other words you cannot improve perfection.I have no more to write but as I have to write at least ten lines of text and English composition was never my forte I will just have to keep going and say that this movie as the saying goes just does not cut it.,negative
14,This a fantastic movie of three prisoners who become famous. One of the actors is george clooney and I'm not a fan but this roll is not bad. Another good thing about the movie is the soundtrack The man of constant sorrow. I recommand this movie to everybody. Greetings Bart,positive
15,Kind of drawn in by the erotic scenes only to realize this was one of the most amateurish and unbelievable bits of film I've ever seen. Sort of like a high school film project. What was Rosanna Arquette thinking And what was with all those stock characters in that bizarre supposed Midwest town Pretty hard to get involved with this one. No lessons to be learned from it no brilliant insights just stilted and quite ridiculous but lots of skin if that intrigues you videotaped nonsense....What was with the bisexual relationship out of nowhere after all the heterosexual encounters. And what was with that absurd dance with everybody playing their stereotyped roles Give this one a pass it's like a million other miles of bad wasted film money that could have been spent on starving children or Aids in Africa.....,negative
16,Some films just simply should not be remade. This is one of them. In and of itself it is not a bad film. But it fails to capture the flavor and the terror of the 1963 film of the same title. Liam Neeson was excellent as he always is and most of the cast holds up with the exception of Owen Wilson who just did not bring the right feel to the character of Luke. But the major fault with this version is that it strayed too far from the Shirley Jackson story in it's attempts to be grandiose and lost some of the thrill of the earlier film in a trade off for snazzier special effects. Again I will say that in and of itself it is not a bad film. But you will enjoy the friction of terror in the older version much more.,positive
17,This movie made it into one of my top 10 most awful movies. Horrible. There wasn't a continuous minute where there wasn't a fight with one monster or another. There was no chance for any character development they were too busy running from one sword fight to another. I had no emotional attachment except to the big bad machine that wanted to destroy them Scenes were blatantly stolen from other movies LOTR Star Wars and Matrix. ExamplesThe ghost scene at the end was stolen from the final scene of the old Star Wars with Yoda Obee One and Vader. The spider machine in the beginning was exactly like Frodo being attacked by the spider in Return of the Kings. Elijah Wood is the victim in both films and wait......it hypnotizes stings its victim and wraps them up.....uh helloAnd the whole machine vs. humans theme WAS the Matrix..or Terminator.....There are more examples but why waste the time And will someone tell me what was with the Nazi's Nazi's There was a juvenile story line rushed to a juvenile conclusion. The movie could not decide if it was a children's movie or an adult movie and wasn't much of either. Just awful. A real disappointment to say the least. Save your money.,negative
18,I remember this filmit was the first film i had watched at the cinema the picture was dark in places i was very nervous it was back in 7475 my Dad took me my brother  sister to Newbury cinema in Newbury Berkshire England. I recall the tigers and the lots of snow in the film also the appearance of Grizzly Adams actor Dan Haggery i think one of the tigers gets shot and dies. If anyone knows where to find this on DVD etc please let me know.The cinema now has been turned in a fitness club which is a very big shame as the nearest cinema now is 20 miles away would love to hear from others who have seen this film or any other like it.,positive
19,An awful film It must have been up against some real stinkers to be nominated for the Golden Globe. They've taken the story of the first famous female Renaissance painter and mangled it beyond recognition. My complaint is not that they've taken liberties with the facts if the story were good that would perfectly fine. But it's simply bizarre  by all accounts the true story of this artist would have made for a far better film so why did they come up with this dishwaterdull script I suppose there weren't enough naked people in the factual version. It's hurriedly capped off in the end with a summary of the artist's life  we could have saved ourselves a couple of hours if they'd favored the rest of the film with same brevity.,negative
20,After the success of Die Hard and it's sequels it's no surprise really that in the 1990s a glut of 'Die Hard on a .....' movies cashed in on the wrong guy wrong place wrong time concept. That is what they did with Cliffhanger Die Hard on a mountain just in time to rescue Sly 'Stop or My Mom Will Shoot' Stallone's career.Cliffhanger is one big nitpickers dream especially to those who are expert at mountain climbing basejumping aviation facial expressions acting skills. All in all it's full of excuses to dismiss the film as one overblown pile of junk. Stallone even managed to get outacted by a horse However if you an forget all the nonsense it's actually a very lovable and undeniably entertaining romp that delivers as plenty of thrills and unintentionally plenty of laughs.You've got to love John Lithgows sneery evilness his tick every box band of baddies and best of all the permanently harassed and hapless 'turncoat' agent Rex Linn as Travers.He may of been Henry in 'Portrait of a Serial Killer' but Michael Rooker is noteworthy for a cringeworthy performance as Hal he insists on constantly shrieking in painful disbelief at his captors 'that man never hurt anybody' And whilst he surely can't be it really does look like Ralph Waite's Frank character is grinning as the girl plummets to her death.Mention too must go to former 'London's Burning' actor Craig Fairbrass as the Brit bad guy who comes a cropper whilst using Hal as a Human Football yes you can't help enjoy that bit Hal needed a good kicking.So forget your better judgement who cares if 'that could never happen' lower your acting expectations turn up the volume and enjoy And if you're looking for Qaulen he's the one wearing the helicopter.,positive
21,I had the terrible misfortune of having to view this bmovie in it's entirety.All I have to say is save your time and money This has got to be the worst bmovie of all time it shouldn't even be called a bmovie more like an fmovie Because it fails in all aspects that make a good movie the story is not interesting at all all of the actors are paperthin and not at all believable it has bad direction and the action sequences are so fake it's almost funny.......almost.The movie is just packed full of crappy oneliners that no respectable person could find amusing in the least little bit.This movie is supposed to be geared towards men but all the women in it are SO utterly unattractive especially that old wrinkled thing that comes in towards the end. They try to appear sexy in those weird horrible costumes and they fail miserablyEven some of the most ridiculous bmovies will still give you some laughs but this is just too painful to watch,negative
22,What an absolutely stunning movie if you have 2.5 hrs to kill watch it you won't regret it it's too much fun Rajnikanth carries the movie on his shoulders and although there isn't anything more other than him I still liked it. The music by A.R.Rehman takes time to grow on you but after you heard it a few times you really start liking it.,positive
23,First of all let's get a few things straight here a I AM an anime fan always has been as a matter of fact I used to watch Speed Racer all the time in Preschool. b I DO like several BMovies because they're hilarious. c I like the Godzilla movies a lot.Moving on when the movie first comes on it seems like it's going to be your usual Bmovie down to the crappy FX but all a sudden BOOM the anime comes on This is when the movie goes WWWAAAAAYYYYY downhill.The animation is VERY bad  cheap even worse than what I remember from SPEED RACER for crissakes In fact it's so cheap one of the few scenes from the movie I vividly remember is when a bunch of kids run out of a school...  it's the same kids over  over again The FX are terrible too the dinosaurs look worse than Godzilla. In addition the transition to live action to animation is unorganized the dialogue  voicesespecially the English dub that I viewed was horrid  I was begging my dad to take the tape out of the DVD VHS player The only thing that kept me surviving was cracking out jokes  comments like the robots  JoelMike on MST3K you pick the season. Honestly this is the only way to barely enjoy this movie  survive it at the same time.Heck I'm planning to show this to another fellow otaku pal of mine on Halloween for a BMovie night. Because it's stupid pretty painful to watch  unintentionally hilarious at the same time I'm giving this movie a 310 an improvement from the 0.510 I was originally going to give it.According to my grading scale 310 means Pretty much both boring  bad. As fun as counting to three unless you find a way to make fun of it then it will become as fun as counting to 15.,negative
24,This was the worst movie I saw at WorldFest and it also received the least amount of applause afterwards I can only think it is receiving such recognition based on the amount of known actors in the film. It's great to see J.Beals but she's only in the movie for a few minutes. M.Parker is a much better actress than the part allowed for. The rest of the acting is hard to judge because the movie is so ridiculous and predictable. The main character is totally unsympathetic and therefore a bore to watch. There is no real emotional depth to the story. A movie revolving about an actor who can't get work doesn't feel very original to me. Nor does the development of the cop. It feels like one of many straighttovideo movies I saw back in the 90s ... And not even a good one in those standards.,negative
25,The Karen Carpenter Story shows a little more about singer Karen Carpenter's complex life. Though it fails in giving accurate facts and details.Cynthia Gibb portrays Karen was not a fine election. She is a good actress  but plays a very naive and sort of dumb Karen Carpenter. I think that the role needed a stronger character. Someone with a stronger personality.Louise Fletcher role as Agnes Carpenter is terrific she does a great job as Karen's mother.It has great songs which could have been included in a soundtrack album. Unfortunately they weren't though this movie was on the top of the ratings in USA and other several countries,positive
26,The Cell is an exotic masterpiece a dizzying trip into not only the vast mind of a serial killer but also into one of a very talented director. This is conclusive evidence of what can be achieved if human beings unleash their uninhibited imaginations. This is boldness at work pushing aside thoughts to fall into formulas and cliches and creating something truly magnificent. This is the best movie of the year to date.I've read numerous complaints about this film anywhere from all style and no substance to poorly cast characters and bad acting. To negatively criticize this film is to miss the point. This movie may be a landmark a tradition where future movies will hopefully follow. The Cell has just opened the door to another world of imagination. So can we slam the door in its face and tell it and its director Tarsem Singh that we don't want any more Personally I would more than welcome another movie by Tarsem and would love to see someone try to challenge him.We've all heard talk about going inside the mind of a serial killer and yes I do agree that the genre is a bit overworked. The 90s were full of movies trying to depict what makes serial killers tick some of them worked but most failed. But The Cell does not blaze down the same trail we are given a new twist we are physically transported into the mind and presented with nothing less than a fascinating journey of the most mysterious subject matter ever studied.I like how the movie does not bog us down with too much scientific jargon trying to explain how Jennifer Lopez actually gets to enter the brain of another. Instead she just lies down on a laboratory table and is wrapped with what looks like really long Twizzlers and jaunted into another entity. The Cell wants to let you see what it's all about and not how it's all about and I guess that's what some people don't like. True I do like explanations with my movies but when a movie ventures onto new ground you must let it do what it desires and simply take it in.I noticed how the film was very dark when it showed reality maybe to contrast the bright visuals when inside the brain of another. Nonetheless the set design was simply astonishing. I wouldn't be surprised if this film took home a few Oscars in cinematography best costumes best director and the like. If it were up to me it'd at least get nominated for best picture.I've noticed that I've kind of been repeating myself. Not because there's nothing else to say but because I can't stress enough how fantastic I thought The Cell was. If you walk into the movie with a very open mind and to have it taken over with wonders and an eyepopping feast then you are assured a good time. I guess this film was just a little too much for some people writing it off as weird or crazy. I am very much into psychology and the imagination of the human mind so it was right down my alley. Leaving the theater I heard one audience member say Whoever made that movie sure did a lot of good drugs. If so I want what he was smoking. out of 4,positive
27,This film tried to be too many things all at once stinging political satire Hollywood blockbuster sappy romantic comedy family values promo... the list goes on and on. It failed miserably at all of them but there was enough interest to keep me from turning it off until the end.Although I appreciate the spirit behind WAR INC. it depresses me to see such a clumsy effort especially when it will be taken by its targets to reflect the lack of the existence of a serious critique rather than simply the poor writing direction and production of this particular film.There is a critique to be made about the corporatization of war. But poking fun at it in this way diminishes the true atrocity of what is happening. Reminds me a bit of THREE KINGS which similarly trivializes a genuine cause for concern.,negative
28,This movie was so frustrating. Everything seemed energetic and I was totally prepared to have a good time. I at least thought I'd be able to stand it. But I was wrong. First the weird looping It was like watching America's Funniest Home Videos. The damn parents. I hated them so much. The stereotypical Latino family I need to speak with the person responsible for this. We need to have a talk. That little girl who was always hanging on someone I just hated her and had to mention it. Now the final scene transcends I must say. It's so gloriously bad and full of badness that it is a movie of its own. What crappy dancing. Horrible and beautiful at once.,negative
29,'War movie' is a Hollywood genre that has been done and redone so many times that clichd dialogue rehashed plot and overthetop action sequences seem unavoidable for any conflict dealing with largescale combat. Once in a while however a war movie comes along that goes against the grain and brings a truly original and compelling story to life on the silver screen. The Civil Warera Cold Mountain starring Jude Law Nicole Kidman and Rene Zellweger is such a film.Then again calling Cold Mountain a war movie is not entirely accurate. True enough the film opens with a quite literally quickanddirty battle sequence that puts Glory director Edward Zwick shame. However Cold Mountain is not so much about the Civil War itself as it is about the period and the people of the times. The story centers around disgruntled Confederate soldier Inman played by Jude Law who becomes disgusted with the gruesome war and homesick for the beautiful hamlet of Cold Mountain North Carolina and the equally beautiful southern belle he left behind Ada Monroe played by Nicole Kidman. At first glance this setup appears formulaic as the romantic interest back home gives the audience enough sympathy to root for the reluctant soldier's tribulations on the battlefield. Indeed the earlier segments of the film are relatively unimpressive and even somewhat contrived.Cold Mountain soon takes a drastic turn though as the intrepid hero Inman turns out to be a deserter incidentally saving the audience from the potentially confusing scenario of wanting to root for the Confederates and begins a long odyssey homeward. Meanwhile back at the farm Ada's cultured ways prove of little use in the fields soon she is transformed into something of a wilderbeast. Coming to Ada's rescue is the course toughasnails Ruby Thewes played by Rene Zellweger who helps Ada put the farm back together and perhaps more importantly cope with the loneliness and isolation the war seems to have brought upon Ada.Within these two settings a vivid compelling and at times very disturbing portrait of the wartorn South unfolds. The characters with whom Inman and Ada interact are surprisingly complex enhanced by wonderful performances of Brendan Gleeson as Ruby's deadbeat father Ray Winstone as an unrepentant southern lawman and Natalie Portman as a deeply troubled and isolated young mother. All have been greatly affected and changed by the war of Northern aggression mostly for the worse. The dark pervading antiwar message accented by an effective haunting score and chillingly beautiful shots of Virginia and North Carolina is communicated to the audience not so much by gruesome battle scenes as by the scarred land and traumatized people for which the war was fought. Though the weapons and tactics of war itself have changed much in the past century it's hellish effect on the land is timelessly relevant.Director Anthony Minghella manages to maintain this gloomy mood for most of the film but the atmosphere is unfortunately denigrated by a rather tepid climax that does little justice to the wonderfully formed characters. The love story between Inman and Ada is awkwardly tacked onto the beginning and end of the film though the inherently distant abstracted and even absurd nature of their relationship in a way fits the dismal nature of the rest of the plot.Make no mistake Cold Mountain has neither the traits of a feelgood romance nor an inspiring war drama. It is a unique vision of an era that is sure not only to entertain but also to truly absorb the audience into the lives of a people torn apart by a war and entirely desperate to be rid of its terrible repercussions altogether.,positive
30,Taut and organically gripping Edward Dmytryk's Crossfire is a distinctive suspense thriller an unlikely message movie using the look and devices of the noir cycle.Bivouacked in Washington DC a company of soldiers cope with their restlessness by hanging out in bars. Three of them end up at a stranger's apartment where Robert Ryan drunk and belligerent beats their host Sam Levene to death because he happens to be Jewish. Police detective Robert Young investigates with the help of Robert Mitchum who's assigned to Ryan's outfit. Suspicion falls on the second of the three George Cooper who has vanished. Ryan slays the third buddy Steve Brodie to insure his silence before Young closes in.Abetted by a superior script by John Paxton Dmytryk draws precise performances from his three starring Bobs. Ryan naturally does his prototypical Angry White Male and to the hilt while Mitchum underplays with his characteristic alert nonchalance his role however is not central Young may never have been better. Gloria Grahame gives her first fullyfledged rendition of the smartmouthed vulnerable tramp and as a sad sack who's leeched into her life Paul Kelly haunts us in a small peripheral role that he makes memorable.The politically engaged Dmytryk perhaps inevitably succumbs to sermonizing but it's pretty much confined to Young's reminiscence of how his Irish grandfather died at the hands of bigots a century earlier thus incidentally stretching chronology to the limit. At least there's no attempt to render an explanation however glib of why Ryan hates Jews and hillbillies and....Curiously Crossfire survives even the major change wrought upon it  the novel it's based on Richard Brooks' The Brick Foxhole dealt with a gaybashing murder. But homosexuality in 1947 was still Beyond The Pale. News of the Holocaust had however begun to emerge from the ashes of Europe so Hollywood felt emboldened to register its protest against antiSemitism the studios always quaked at the prospect of offending any potential ticket buyer.But while the change from homophobia to antiSemitism works in general the specifics don't fit so smoothly. The victim's chatting up a lonesome drunk young soldier then inviting him back home looks odd even though or especially since there's a girlfriend in tow. It raises the question whether this scenario was retained inadvertently or left in as a discreet tipoff to the original engine generating Ryan's murderous rage.,positive
31,Ardh Satya is one of the finest film ever made in Indian Cinema. Directed by the great director Govind Nihalani this one is the most successful Hard Hitting Parallel Cinema which also turned out to be a Commercial Success. Even today Ardh Satya is an inspiration for all leading directors of India.The film tells the Reallife Scenario of Mumbai Police of the 70s. Unlike any Police of other cities in India Mumbai Police encompasses a Different system altogether. Govind Nihalani creates a very practical Outlay with real life approach of Mumbai Police Environment.Amongst various Police officers  colleagues the film describes the story of Anand Velankar a young hotblooded Cop coming from a poor family. His father is a harsh Police Constable. Anand himself suffers from his father's ideologies  incidences of his father's Atrocities on his mother. Anand's approach towards immediate action against crime is an inert craving for his own Job satisfaction. The film is here revolved in a Plot wherein Anand's constant efforts against crime are trampled by his seniors.This leads to frustrations as he cannot achieve the desired Jobsatisfaction. Resulting from the frustrations his anger is expressed in excessive violence in the remand rooms  bars also turning him to an alcoholic.The Spirit within him is still alive as he constantly fights the system. He is aware of the system of the Metro where the Police  Politicians are a inertly associated by far end. His compromise towards unethical practice is negative. Finally he gets suspended.The Direction is a master piece  thoroughly hard core. One of the best memorable scenes is when Anand breaks in the Underworld gangster Rama Shetty's house to arrest him followed by short conversation which is fantastic. At many scenes the film has Hairraising moments.The Practical approach of Script is a major Punch. Alcoholism Corruption Political Influence Courage Deceptions all are integral part of Mumbai police even today. Those aspects are dealt brilliantly.Finally the films belongs to the One man show Om Puri portraying Anand Velankar traversing through all his emotions absolutely brilliantly.,positive
32,My first exposure to the Templarios  not a good one. I was excited to find this title among the offerings from Anchor Bay Video which has brought us other cult classics such as Spider Baby. The print quality is excellent but this alone can't hide the fact that the film is deadly dull. There's a thrilling opening sequence in which the villagers exact a terrible revenge on the Templars  set the whole thing in motion but everything else in the movie is slow ponderous  ultimately unfulfilling. Adding insult to injury the movie was dubbed not subtitled as promised on the video jacket.,negative
33,One of the most significant quotes from the entire film is pronounced halfway through by the protagonist the mafia middleman Titta Di Girolamo a physically nondescript middleaged man originally from Salerno in Southern Italy. When we're introduced to him at the start of the film he's been living a nonlife in an elegant but sterile hotel in the Italianspeaking Canton of Switzerland for the last ten years conducting a business we are only gradually introduced to. While this pivotal yet apparently unremarkable scene takes place employees of the the Swiss bank who normally count Di Girolamo's cash tell him that 10000 dollars are missing from his usual suitcase full of tightly stacked banknotes. At the news he quietly but icily threatens his coaxing bank manager of wanting to close down his account. Meanwhile he tells us the spectators that when you bluff you have to bluff right through to the end without fear of being caught out or appearing ridiculous. He says you can't bluff for a while and then halfway through tell the truth. Having eventually done this  bluffed only halfway through and told the truth and having accepted the consequences of life and ultimately love  is exactly the reason behind the beginning of Titta Di Girolamo's troubles. This initially unsympathetic character a scowling taciturn curt man on the verge of 50 a man who won't even reply in kind to chambermaids and waitresses who say hello and goodbye becomes at one point someone the spectator cares deeply about. At one point in his nonlife Titta decides to feel concern about appearing ridiculous. The first half of the film may be described as slow by some. It does indeed reveal Di Girolamo's days and nights in that hotel at an oddly disjoined deliberate pace revealing seemingly mundane and irrelevant details. However scenes that may have seemed unnecessary reveal just how essential they are as this masterfully constructed and innovative film unfolds before your eyes. The existence of Titta Di Girolamo  the man with no imagination identity or life the unsympathetic character you unexpectedly end up loving and feeling for when you least thought you would  is also conveyed with elegantly edited sequences and very interesting use of music one theme by the Scottish band Boards of Canada especially stood out. Never was the contrast between the way Hollywood and Italy treat mobsters more at odds than since the release of films such as Le Conseguenze dell'Amore or L'Imbalsamatore. Another interesting element was the way in which the film made use of the protagonist's insomnia. Not unlike The Machinist and in a far more explicit way the Al Pacino film Insomnia Le Conseguenze dell'Amore uses this condition to symbolise a deeper emotional malaise that's been rammed so deep into the obscurity of the unconscious it's almost impossible to pinpoint its cause if indeed there is one. The young and sympathetic hotel waitress Sofia played by Olivia Magnani granddaughter of the legendary Anna and the memory of Titta's best friend a man whom he hasn't seen in 20 years unexpectedly provide a tiny window onto life that Titta eventually though tentatively at first accepts to look through again. Though it's never explicitly spelt out the spectator KNOWS that to a man like Titta accepting The Consequences of Love will have unimaginable consequences. A film without a single scene of sex or violence a film that unfolds in its own time and concedes nothing to the spectator's expectations Le Conseguenze dell'Amore is a fine representative of that small quiet discreet Renaissance that has been taking place in Italian cinema since the decline of Cinecitt during the second half of the 70s. The world is waiting for Italy to produce more Il Postinolike fare more La Vita  Bellastyle films... neglecting to explore fine creations like Le Conseguenze dell'Amore L'Imbalsamatore and others. Your loss world.,positive
34,I watched this film not really expecting much I got it in a pack of 5 films all of which were pretty terrible in their own way for under a fiver so what could I expect and you know what I was right they were all terrible this movie has a few and a few is stretching it interesting points the occasional camcorder view is a nice touch the drummer is very like a drummer i.e damned annoying and well thats about it actually the problem is that its just so boring in what I can only assume was an attempt to build tension a whole lot of nothing happens and when it does its utterly tedious I had my thumb on the fast forward button ready to press for most of the movie but gave it a go and seriously is the lead singer of the band that great looking coz they don't half mention how beautiful he is a hell of a lot I thought he looked a bit like a meercat all this and I haven't even mentioned the killer I'm not even gonna go into it its just not worth explaining. Anyway as far as I'm concerned Star and London are just about the only reason to watch this and with the exception of London who was actually quite funny it wasn't because of their acting talent I've certainly seen a lot worse but I've also seen a lot better. Best avoid unless your bored of watching paint dry.,negative
